Country,CODE,"GDP (USD)",Population,GDP/Capita,"GDP Growth",Inflation,Unemployment,Debt/GDP,"Life Exp.",Trade/GDP,id
Armenia,ARM,29082000000,3033500,9392.848,4.9,2.8,12.871,54.1,77.46585366,150.0647266,62
Mali,MLI,28478000000,24478595,1094.493,5.4,2,2.831,48,60.439,49.89604143,63
Lebanon,LBN,28280000000,5805962,5282.154,-7.5,45.2,10.985,163.8,77.817,104.2064101,64
Turkiye,TUR,1576110000000,85518661,18232.019,3.7,24.7,8.52,25.1,77.156,54.59880612,65
Guyana,GUY,27486000000,831087,34306.679,23,4.4,11.962,29.3,70.18,94.21049468,66
Indonesia,IDN,1550240000000,283487931,5397.79,4.9,2.9,3.237,41.1,71.146,42.5726473,67
Benin,BEN,27453000000,14462724,1787.643,6.7,2,1.589,49.6,60.774,40.63980224,68
Netherlands,NLD,1413080000000,17993485,77881.418,1.2,2.4,3.874,45.2,81.91463415,153.8306522,69
"Saudi Arabia",SAU,1316250000000,35300280,35839.34,4,2,3.038,31.8,78.732,54.67870527,70
"Trinidad and Tobago",TTO,26758000000,1368333,18562.439,1.2,2.2,3.329,68.5,73.49,94.21049468,71
Poland,POL,1109960000000,36559233,30651.257,3.1,2.8,2.976,65.8,78.50731707,100.3594428,72
Mongolia,MNG,26520000000,3524788,7320.212,5.5,8.1,5.233,49.7,72.12243902,138.4483791,73
Mozambique,MOZ,26512000000,34631766,719.924,3.5,5.4,6.628,99.9,63.611,95.65942035,74
Niger,NER,26110000000,27032412,864.478,6.7,3.2,0.394,41.4,61.183,49.97598374,75
Jamaica,JAM,24132000000,2839175,8756.113,1.5,5,3.286,57.4,71.479,94.21049468,76
Switzerland,CHE,1074590000000,9005582,118173.258,1.3,0.6,4.873,36.1,84.05609756,134.0951485,77
Chad,TCD,23556000000,20299123,1208.56,3.6,3.6,1.057,32.5,55.069,47.8679893,78
Belgium,BEL,761174000000,11858610,63896.432,1,1.3,5.906,110.6,82.39756098,158.9318263,79
Ireland,IRL,750112000000,5395790,135247.398,1.3,1.7,4.632,31.5,82.86097561,246.1698749,80
Gabon,GAB,22726000000,2538952,9647.005,2.6,2.5,20.154,82,68.337,92.04680552,81
Nicaragua,NIC,21860000000,6916140,3083.882,2.9,2.7,5.04,40.1,74.947,98.52583771,82
Sweden,SWE,711503000000,10569709,66123.903,1.9,1.6,8.694,35.6,83.3097561,105.8830915,83
"Kyrgyz Republic",KGZ,21563000000,7221868,2925.072,5.3,6.9,3.526,38.3,72.24878049,127.6505778,84
Argentina,ARG,667922000000,45696159,13895.282,4,16.4,7.145,73.6,77.395,27.92976085,85
Madagascar,MDG,21091000000,31964956,652.604,4.3,7.2,3.041,50.9,63.632,54.97958814,86
Israel,ISR,666407000000,9974400,64275.33,3.9,2.2,3.489,70.4,83.19512195,54.4520003,87
Moldova,MDA,21024000000,2402306,8984.47,2.2,5.5,1.505,39.2,71.198,88.66611543,88
